지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
575,2017-08-25,,용인이동,,37.1058,127.1877,48.1,,,,
575,2016-08-01,2017-08-25,용인이동,,37.106,127.188,48,,,,
575,2014-12-23,2016-08-01,이동,,37.106,127.188,48,,,,
575,1993-11-17,2014-12-23,이동,수도권기상청(119),37.1399,127.198,59,,,,
576,2017-08-25,,백암,,37.1297,127.3663,111.46,,,,
576,2015-07-13,2017-08-25,백암,,37.1268,127.3686,114,,,,
576,2014-12-04,2015-07-13,백암,이천지역기상서비스센터(203),37.1268,127.3686,114,,,,
576,1993-11-16,2014-12-04,백암,이천지역기상서비스센터(203),37.1634,127.3755,111.98,,,,
577,1993-09-04,,장봉도,인천기상대(112),37.5341,126.3365,11.41,,,,
578,2015-07-13,,호도,대전지방기상청(133),36.3012,126.2663,8.09,,,,
578,2013-12-18,2015-07-13,호도,보령지역기상서비스센터(235),36.3011,126.2664,10,,,,
578,1993-09-13,2013-12-17,용유도,인천기상대(112),37.450,126.420,15,,,,
579,2015-07-13,,하장,강릉(구 105),37.3669,128.9133,609.21,,,,
579,2012-12-07,2015-07-13,하장,동해기상대(106),37.3666,128.9129,615,,,,
579,1993-09-14,2012-12-07,하장,동해기상대(106),37.3495,128.9431,653.84,,,,
580,2015-07-13,,옥계,강릉(구 105),37.6135,129.0289,58.38,,,,
580,2012-11-07,2015-07-13,옥계,동해기상대(106),37.6135,129.0288,48,,,,
580,1993-09-13,2012-11-07,옥계,동해기상대(106),37.6126,129.0378,15.06,,,,
581,2015-07-13,,상동,강릉(구 105),37.1164,128.7742,420,,,,
581,2010-12-10,2015-07-13,상동,영월기상대(121),37.1164,128.7742,420,,,,
581,2007-08-01,2010-12-10,상동,영월기상대(121),37.1293,128.8292,509,,,,
581,2004-03-25,2007-08-01,상동,영월기상대(121),37.1293,128.8292,509,,,,
581,1993-09-09,2004-03-25,상동,영월기상대(121),37.1409,128.8385,510,,,,
582,2015-07-13,,신림,강릉(구 105),37.2315,128.0799,328.01,,,,
582,2013-11-01,2015-07-13,신림,원주기상대(114),37.2314,128.0799,330.28,,,,
582,2010-11-24,2013-10-29,신림,원주기상대(114),37.2314,128.0799,327,,,,
582,2007-08-14,2010-11-24,신림,원주기상대(114),37.2278,128.0829,331,,,,
582,1993-09-07,2007-08-14,신림,원주기상대(114),37.2278,128.0829,331,,,,
583,2015-07-13,,안흥,강릉(구 105),37.4646,128.1551,530,,,,
583,2013-12-26,2015-07-13,안흥,원주기상대(114),37.4646,128.1551,530,,,,
583,2007-08-13,2013-12-26,안흥,원주기상대(114),37.4125,128.1561,430.66,,,,
583,1993-09-08,2007-08-13,안흥,원주기상대(114),37.410,128.1568,430,,,,
584,1993-09-08,2010-12-04,정선북,영월기상대(121),37.4711,128.7245,386,,,,
585,1993-10-19,,신남,강릉(구 105),37.966,128.0834,236.41,,,,
586,2015-08-05,,북산,춘천기상대(101),38.0321,127.8769,226,,,,
586,1993-10-19,2015-08-05,북산,춘천기상대(101),37.9876,127.8858,240.61,,,,
587,2012-10-08,,방산,춘천기상대(101),38.2262,127.9505,280,,,,
587,1993-10-08,2012-10-08,방산,춘천기상대(101),38.2091,127.9495,262.19,,,,
588,1993-10-20,,남산,춘천기상대(101),37.7918,127.6462,93.59,,,,
589,2017-08-25,,능곡,,37.7024,126.7903,59.07,,,,
589,2015-07-13,2017-08-25,능곡,,37.7024,126.7903,58,,,,
589,2012-07-17,2015-07-13,능곡,파주기상대(99),37.7024,126.7903,58,,,,
589,2010-08-16,2012-07-17,능곡,파주기상대(99),37.6205,126.7943,11.51,,,,
589,1994-12-11,2010-08-15,능곡,서울기상관측소(108),37.6372,126.7586,10,,,,
590,2010-12-14,,과천,,37.4403,127.0025,46.6,,,,
590,2010-11-01,2010-12-14,과천,수도권기상청(119),37.426,126.989,70,,,,
590,2010-10-05,2010-11-01,과천,수도권기상청(119),37.426,126.989,70,,,,
590,2010-08-16,2010-10-05,과천,인천기상대(112),37.4263,126.9887,70,,,,
590,2007-08-29,2010-08-15,과천,서울기상관측소(108),37.4263,126.9887,70,,,,
590,1994-12-12,2007-08-29,과천,서울기상관측소(108),37.4263,126.9887,70,,,,
591,2015-07-13,,치악산,강릉(구 105),37.4155,128.0505,268.45,,,,
591,2009-09-01,2015-07-13,치악산,원주기상대(114),37.4155,128.0505,268.45,,,,
591,2007-08-15,2009-09-01,치악산,원주기상대(114),37.430,128.030,282,,,,
591,1994-12-15,2007-08-15,치악산,원주기상대(114),37.430,128.030,282,,,,
592,2015-07-13,,부론,강릉(구 105),37.2316,127.7487,52,,,,
592,2011-11-01,2015-07-13,부론,원주기상대(114),37.2316,127.7487,52,,,,
592,2007-08-16,2011-11-01,부론,원주기상대(114),37.2075,127.7505,64.08,,,,
592,1994-12-16,2007-08-16,부론,원주기상대(114),37.2045,127.753,64,,,,
593,2011-11-02,,양양영덕,강릉(구 105),38.0074,128.5407,146.05,,,,
593,1994-12-14,2011-11-01,서림,강릉(구 105),37.9811,128.5265,159.8,,,,
594,2013-12-12,,서화,강릉(구 105),38.2533,128.210,316,,,,
594,2007-08-17,2013-12-12,서화,춘천기상대(101),38.2183,128.2085,311,,,,
594,1994-12-13,2007-08-17,서화,속초기상대(90),38.2168,128.2102,311,,,,
595,2015-07-13,,진부령,강릉(구 105),38.2664,128.374,596.25,,,,
595,2009-06-29,2015-07-13,진부령,속초기상대(90),38.2664,128.374,596.25,,,,
595,2007-08-08,2009-06-29,진부령,속초기상대(90),38.2664,128.374,600.6,,,,
595,2006-11-29,2007-08-08,진부령,속초기상대(90),38.2664,128.374,600.6,,,,
595,1998-04-27,2006-11-29,진부령,속초기상대(90),38.2667,128.3833,620,,,,
595,1994-12-13,1998-04-27,진부령,속초기상대(90),38.260,128.380,520,,,,
596,2012-11-15,,오색,강릉(구 105),38.077,128.4932,237.73,,,,
596,2007-08-07,2012-11-15,오색,강릉(구 105),38.0775,128.451,337.35,,,,
596,1994-12-14,2007-08-07,오색,강릉(구 105),38.070,128.450,337,,,,
597,2015-07-13,,대화,강릉(구 105),37.5455,128.4411,561.08,,,,
597,2012-11-16,2015-07-13,대화,대관령기상대(100),37.5455,128.4411,562.81,,,,
597,2007-08-03,2012-11-16,대화,대관령기상대(100),37.5009,128.4585,445.58,,,,
597,1994-12-15,2007-08-03,대화,대관령기상대(100),37.4927,128.4594,445,,,,
598,2015-07-13,,양주,,37.8312,126.9905,87.76,,,,
598,2003-10-19,2015-07-13,양주,파주기상대(99),37.8312,126.9905,85.22,,,,
598,1998-04-14,2003-10-19,양주,파주기상대(99),37.830,127.000,106,,,,
598,1995-02-11,1998-04-14,광적,서울기상관측소(108),37.830,127.000,78,,,,
599,2015-07-13,,광릉,,37.7617,127.1698,105.82,,,,
599,1998-04-14,2015-07-13,광릉,동두천지역기상서비스센터(98),37.7617,127.1698,101.49,,,,
599,1992-02-15,1998-04-14,광릉,서울기상관측소(108),37.7538,127.1722,104,,,,
600,2017-08-25,,금왕,청주기상대(131),36.9737,127.5898,132,,,,
600,2015-07-13,2017-08-25,금왕,청주기상대(131),36.9737,127.5897,131.98,,,,
600,2011-11-01,2015-07-13,금왕,충주지역기상서비스센터(127),36.9737,127.5897,131.98,,,,
600,2001-06-19,2011-11-01,금왕,충주지역기상서비스센터(127),36.9882,127.6003,100,,,,
600,1990-06-04,2001-06-19,금왕,충주지역기상서비스센터(127),36.9882,127.6003,100,,,,
601,2017-08-25,,단양,청주기상대(131),36.9855,128.3669,184.2,,,,
601,2015-07-13,2017-08-25,단양,청주기상대(131),36.9855,128.3669,184.21,,,,
601,1990-06-05,2015-07-13,단양,충주지역기상서비스센터(127),36.9855,128.3669,184.21,,,,
602,2011-09-30,,진천,청주기상대(131),36.8539,127.4297,90.45,,,,
602,1990-06-06,2011-09-30,진천,청주기상대(131),36.8539,127.4297,91.98,,,,
603,2017-08-25,,괴산,청주기상대(131),36.8161,127.7776,120.5,,,,
603,2001-06-19,2017-08-25,괴산,청주기상대(131),36.800,127.800,127,,,,
603,1990-06-07,2001-06-19,괴산,청주기상대(131),36.800,127.800,115,,,,
604,2015-07-13,,옥천,청주기상대(131),36.300,127.5965,117.84,,,,
604,2005-08-05,2015-07-13,옥천,추풍령지역기상서비스센터(135),36.300,127.5965,117.84,,,,
604,1990-06-10,2005-08-05,옥천,대전지방기상청(133),36.300,127.580,110,,,,
605,2015-07-13,,영동,청주기상대(131),36.1631,127.7598,137.14,,,,
605,1990-06-11,2015-07-13,영동,추풍령지역기상서비스센터(135),36.1631,127.7598,137.14,,,,
606,2015-12-23,,대산,,37.0106,126.3881,23.22,,,,
606,2011-11-21,2015-12-23,대산,,37.011,126.388,16,,,,
606,1999-01-07,2011-11-21,대산,홍성기상대(서산 129),36.9984,126.454,14.82,,,,
606,1998-12-08,1999-01-07,대산,홍성기상대(서산 129),36.9833,126.450,6,,,,
606,1990-06-07,1998-12-08,대산,홍성기상대(서산 129),36.9367,126.4363,29,,,,
607,2017-08-25,,근흥,,36.6731,126.1354,9.7,,,,
607,1997-11-07,2017-08-25,근흥,,36.6667,126.150,8,,,,
607,1990-06-12,1997-11-07,근흥,홍성기상대(서산 129),36.680,126.170,10,,,,
608,2012-11-23,,홍북,,36.6277,126.6451,86.52,,,,
608,1990-06-17,2012-11-23,봉산,홍성기상대(서산 129),36.7487,126.6816,43.56,,,,
609,2015-07-13,,삽시도,대전지방기상청(133),36.3379,126.3564,36.1,,,,
609,2014-10-25,2015-07-13,삽시도,보령지역기상서비스센터(235),36.3379,126.3564,36.1,,,,
609,2009-10-15,2014-10-25,삽시도,보령지역기상서비스센터(235),36.3435,126.3518,22.62,,,,
609,1999-09-08,2009-10-15,안면,홍성기상대(서산 129),36.420,126.440,36,,,,
609,1998-04-24,1999-09-08,안면,홍성기상대(서산 129),36.4167,126.4333,9,,,,
609,1990-06-12,1998-04-24,안면,홍성기상대(서산 129),36.5183,126.3453,20,,,,
610,2017-09-12,,홍성죽도,,36.520,126.4424,16.88,,,,
610,2009-08-19,2017-09-12,홍성,,36.5926,126.6444,49.27,,,,
610,1990-06-14,2009-08-19,홍성,홍성기상대(서산 129),36.580,126.630,57,,,,
611,2012-09-01,,세종연서,대전지방기상청(133),36.5722,127.2836,26.6,,,,
611,2012-07-02,2012-09-01,연기,대전지방기상청(133),36.5665,127.2797,28.1,,,,
611,2011-10-06,2012-07-02,연기,천안지역기상서비스센터(232),36.5665,127.2797,28.1,,,,
611,1990-06-07,2011-10-06,연기,천안지역기상서비스센터(232),36.570,127.270,25,,,,
612,2013-12-19,,공주,대전지방기상청(133),36.4828,127.1365,24,,,,
612,2009-11-16,2013-12-19,공주,대전지방기상청(133),36.4609,127.1114,49.96,,,,
612,1990-01-07,2009-11-16,공주,대전지방기상청(133),36.4833,127.100,67,,,,
614,2015-07-13,,서천,대전지방기상청(133),36.0625,126.7041,6,,,,
614,2010-12-14,2015-07-13,서천,군산기상대(140),36.0622,126.7043,8,,,,
614,1999-04-28,2010-12-14,서천,군산기상대(140),36.050,126.700,16,,,,
614,1992-05-12,1999-04-28,서천,대전지방기상청(133),36.050,126.700,8,,,,
615,2013-12-24,,논산,대전지방기상청(133),36.2116,127.1083,11.5,,,,
615,2009-05-21,2013-12-23,논산,대전지방기상청(133),36.2276,127.0853,5.91,,,,
615,1997-10-30,2009-05-21,논산,대전지방기상청(133),36.1833,127.100,14,,,,
615,1990-06-05,1997-10-30,논산,대전지방기상청(133),36.300,127.1667,10,,,,
616,2010-11-08,,당진,,36.8894,126.6174,52.4,,,10.000,
616,2000-03-17,2010-11-08,당진,홍성기상대(서산 129),36.900,126.650,21,,,,
616,1991-11-14,2000-03-17,당진,홍성기상대(서산 129),36.880,126.620,20,,,,
617,2015-07-13,,성거,대전지방기상청(133),36.8782,127.1561,41.03,,,,
617,1991-11-14,2015-07-13,성거,천안지역기상서비스센터(232),36.8782,127.1561,41.38,,,,
618,2015-07-13,,청양,대전지방기상청(133),36.4237,126.7791,97.78,,,10.000,
618,2007-12-17,2015-07-13,청양,보령지역기상서비스센터(235),36.4237,126.7791,98.12,,,10.000,
618,1991-11-16,2007-12-13,청양,홍성기상대(서산 129),36.420,126.780,118,,,,
619,2015-07-13,,음성,청주기상대(131),36.9444,127.6845,161.02,,,,
619,2010-11-09,2015-07-13,음성,충주지역기상서비스센터(127),36.9444,127.6845,161.02,,,,
619,2001-06-19,2010-11-09,음성,충주지역기상서비스센터(127),36.930,127.680,163,,,,
619,1991-11-23,2001-06-19,음성,충주지역기상서비스센터(127),36.930,127.680,145,,,,
620,2015-07-13,,엄정,청주기상대(131),37.0737,127.9035,63.53,,,,
620,2011-12-19,2015-07-13,엄정,충주지역기상서비스센터(127),37.0737,127.9035,63.53,,,,
620,2001-06-19,2011-12-19,엄정,충주지역기상서비스센터(127),37.0865,127.9152,77.61,,,,
620,1992-11-17,2001-06-19,엄정,충주지역기상서비스센터(127),37.0828,127.9164,95,,,,
621,2015-07-13,,수산,청주기상대(131),36.9732,128.2142,147.26,,,,
621,2012-12-21,2015-07-13,수산,충주지역기상서비스센터(127),36.9732,128.2142,147.26,,,,
621,1992-11-18,2012-12-21,청풍,충주지역기상서비스센터(127),37.0003,128.1678,185.72,,,,
622,2015-07-13,,수안보,청주기상대(131),36.8391,128.0079,232.11,,,,
622,2010-07-13,2015-07-13,수안보,충주지역기상서비스센터(127),36.8391,128.0079,232.11,,,,
622,2001-06-19,2010-07-13,수안보,충주지역기상서비스센터(127),36.842,127.9939,195,,,,
622,1992-11-17,2001-06-19,수안보,충주지역기상서비스센터(127),36.842,127.9939,195,,,,
623,2010-07-30,,증평,청주기상대(131),36.7956,127.562,74.72,,,10.000,
623,2007-07-28,2010-07-29,증평,충주지역기상서비스센터(127),36.780,127.580,102,,,,
623,2001-06-19,2007-07-28,증평,충주지역기상서비스센터(127),36.780,127.580,102,,,,
623,1992-11-20,2001-06-19,증평,청주기상대(131),36.780,127.580,102,,,,
624,2018-05-08,,상당,청주기상대(131),36.6244,127.6571,244,,,,
624,2014-07-01,2018-05-08,상당,청주기상대(131),36.6294,127.6588,244,,,,
624,1992-11-16,2014-06-30,청원,청주기상대(131),36.6294,127.6588,244,,,,
625,1992-11-15,,속리산,청주기상대(131),36.5172,127.8167,324.91,,,,
626,2016-08-01,,옥천청산,청주기상대(131),36.3705,127.8154,122.63,,,,
626,2015-07-13,2016-08-01,청산,청주기상대(131),36.3709,127.8156,120.73,,,,
626,2015-04-13,2015-07-13,청산,,36.3709,127.8156,120.73,,,,
626,1992-11-17,2015-04-13,청산,추풍령지역기상서비스센터(135),36.3709,127.8156,120.24,,,,
627,2007-07-21,,태안,,36.7585,126.2964,40.9,,,,
627,1992-11-17,2007-07-20,태안,홍성기상대(서산 129),36.7544,126.2988,41,,,,
628,2015-07-13,,예산,대전지방기상청(133),36.7421,126.8144,38.74,,,,
628,2007-10-23,2015-07-13,예산,천안지역기상서비스센터(232),36.7422,126.8144,38.74,,,,
628,1998-11-06,2007-10-23,예산,대전지방기상청(133),36.6778,126.800,39,,,,
628,1992-11-17,1998-11-06,예산,대전지방기상청(133),36.6778,126.8489,44,,,,
629,2012-12-15,,세종전의,대전지방기상청(133),36.6908,127.2005,84.52,,,,
629,2012-09-01,2012-12-15,세종전의,대전지방기상청(133),36.6814,127.1959,80.43,,,,
629,2012-07-02,2012-09-01,전의,천안지역기상서비스센터(232),36.6814,127.1959,80.43,,,,
629,1999-02-05,2012-07-02,전의,천안지역기상서비스센터(232),36.6814,127.1959,80.43,,,,
629,1992-11-19,1999-02-05,전의,청주기상대(131),36.6757,127.2066,62,,,,
630,2015-12-24,,노은,청주기상대(131),37.042,127.787,116.55,,,,
630,2015-07-13,2015-12-24,노은,청주기상대(131),37.042,127.787,116.55,,,,
630,2010-08-20,2015-07-13,노은,충주지역기상서비스센터(127),37.042,127.787,116.55,,,,
630,2001-06-19,2010-08-20,노은,충주지역기상서비스센터(127),37.0451,127.7563,146,,,,
630,1993-09-11,2001-06-19,노은,충주지역기상서비스센터(127),37.0451,127.7563,120,,,,
631,2007-10-16,,송도,인천기상대(112),37.3478,126.6154,9.74,,,10.000,
631,2001-01-05,2007-10-09,팔미도,인천기상대(112),37.355,126.5133,63,,,,
632,2015-07-13,,유구,대전지방기상청(133),36.5407,126.9336,58.83,,,,
632,2014-11-04,2015-07-13,유구,천안지역기상서비스센터(232),36.5378,126.9495,55.1,,,,
632,2007-07-24,2014-11-04,유구,천안지역기상서비스센터(232),36.5528,126.9503,71.54,,,,
632,1993-10-10,2007-07-24,유구,대전지방기상청(133),36.5495,126.952,76,,,,
633,2015-07-13,,정안,대전지방기상청(133),36.5511,127.0938,72.83,,,,
633,2012-06-12,2015-07-13,정안,천안지역기상서비스센터(232),36.5511,127.0939,72.5,,,,
633,2005-09-16,2012-06-12,정안,천안지역기상서비스센터(232),36.6094,127.1227,61.34,,,,
633,1993-10-11,2005-09-16,정안,대전지방기상청(133),36.6041,127.1207,40,,,,
634,2015-07-13,,아산,대전지방기상청(133),36.8458,126.8654,29.5,,,,
634,2009-09-17,2015-07-13,아산,천안지역기상서비스센터(232),36.8458,126.8654,27.5,,,,
634,1993-10-22,2009-09-15,아산,천안지역기상서비스센터(232),36.8664,126.8858,15,,,,
635,2017-08-25,,양화,대전지방기상청(133),36.1319,126.8602,10.73,,,,
635,2015-12-23,2017-08-25,양화,대전지방기상청(133),36.1319,126.8603,10,,,,
635,2015-07-13,2015-12-23,양화,대전지방기상청(133),36.1319,126.8603,10,,,,
635,2011-10-28,2015-07-13,양화,보령지역기상서비스센터(235),36.1319,126.8603,10,,,,
635,2007-07-25,2011-10-27,홍산,보령지역기상서비스센터(235),36.2139,126.7609,26,,,,
635,1993-10-17,2007-07-25,홍산,대전지방기상청(133),36.2139,126.7609,26,,,,
636,2015-12-08,,계룡,대전지방기상청(133),36.3132,127.2407,132,,,,
636,2009-11-26,2015-12-08,계룡,대전지방기상청(133),36.3132,127.2407,131.99,,,,
636,1993-10-08,2009-11-26,계룡,대전지방기상청(133),36.300,127.230,146,,,,
637,2013-07-10,,신평,,36.8938,126.8056,19.81,,,,
637,2007-07-20,2013-07-10,이원,홍성기상대(서산 129),36.8699,126.2807,23.57,,,,
637,1993-09-21,2007-07-20,이원,홍성기상대(서산 129),36.8679,126.2837,27,,,,
638,2015-07-13,,영춘,청주기상대(131),37.0847,128.4847,175,,,,
638,2013-12-28,2015-07-13,영춘,영월기상대(121),37.0847,128.4847,175,,,,
638,2007-07-31,2012-12-27,영춘,영월기상대(121),37.0787,128.4874,183.28,,,,
638,2001-01-01,2007-07-31,영춘,영월기상대(121),37.0758,128.4887,184,,,,
638,1994-12-14,2001-01-01,영춘,충주지역기상서비스센터(127),37.0758,128.4887,190,,,,
639,2015-07-13,,덕산,청주기상대(131),36.9041,128.1457,282,,,,
639,2011-08-24,2015-07-13,덕산,충주지역기상서비스센터(127),36.9041,128.1457,282,,,,
639,1994-12-15,2011-08-24,덕산,충주지역기상서비스센터(127),36.9117,128.1643,273.58,,,,
640,2011-11-21,,청천,청주기상대(131),36.6711,127.8617,225.09,,,,
640,2001-06-19,2011-11-21,청천,청주기상대(131),36.760,127.860,225,,,,
640,1994-12-16,2001-06-19,청천,충주지역기상서비스센터(127),36.760,127.860,225,,,,
641,2017-08-25,,대청,청주기상대(131),36.5223,127.5017,88.2,,,,
641,1994-04-23,2017-08-25,대청,청주기상대(131),36.470,127.480,113,,,,
642,2015-12-23,,문화,대전지방기상청(133),36.3105,127.4061,77.3,,,,
642,1994-12-17,2015-12-23,문화,대전지방기상청(133),36.3105,127.4061,77.27,,,,
643,2010-06-07,,세천,대전지방기상청(133),36.3402,127.4938,91.8,,,,
643,1994-12-18,2010-06-07,세천,대전지방기상청(133),36.340,127.490,92,,,,
644,2012-09-12,,연무,대전지방기상청(133),36.1366,127.090,24.5,,,,
644,1994-12-19,2012-09-12,양촌,대전지방기상청(133),36.1385,127.2327,56.43,,,,
645,2013-12-13,,서부,,36.579,126.5109,20.5,,,,
645,1994-12-09,2013-12-13,서부,홍성기상대(서산 129),36.5804,126.5173,22.58,,,,
646,2017-08-25,,춘장대,대전지방기상청(133),36.1741,126.5284,9.5,,,,
646,2015-07-13,2017-08-25,춘장대,대전지방기상청(133),36.1741,126.5293,13.1,,,,
646,2012-11-27,2015-07-13,춘장대,군산기상대(140),36.1741,126.5293,13.1,,,,
646,1999-04-28,2012-11-27,신합,군산기상대(140),36.153,126.5496,21.3,,,,
646,1994-12-14,1999-04-28,신합,대전지방기상청(133),36.1504,126.5546,15,,,,
647,2015-07-13,,가곡,청주기상대(131),36.125,127.6924,120.45,,,,
647,2009-06-29,2015-07-13,가곡,추풍령지역기상서비스센터(135),36.125,127.6924,120.45,,,,
647,1993-10-14,2009-06-29,가곡,추풍령지역기상서비스센터(135),36.1173,127.6695,127,,,,
648,2008-08-26,,장동,대전지방기상청(133),36.4135,127.4382,99.72,,,,
648,1990-06-09,2008-08-26,구즉,대전지방기상청(133),36.4333,127.3833,62,,,,
649,2010-12-01,,부평,인천기상대(112),37.4722,126.7507,25.91,,,,
649,2007-10-28,2010-12-01,선미도,인천기상대(112),37.285,126.080,160,,,,
649,2001-01-05,2007-10-28,선미도,인천기상대(112),37.285,126.080,160,,,,
650,2015-07-13,,양지,춘천기상대(101),38.2726,127.2772,230,,,,
650,2012-05-22,2015-07-13,양지,철원기상대(95),38.2726,127.2772,230,,,,
650,2007-08-31,2012-05-22,정연,철원기상대(95),38.2867,127.3311,200.02,,,,
650,1998-02-20,2007-08-31,정연,철원기상대(95),38.2833,127.3333,200,,,,
651,2015-07-13,,외촌,춘천기상대(101),38.2772,127.2056,216.03,,,,
651,2012-05-23,2015-07-13,외촌,철원기상대(95),38.2772,127.2058,221,,,,
651,1998-02-19,2012-05-23,대마,철원기상대(95),38.264,127.1652,201.62,,,,
652,2016-08-01,,연천청산,,38.0265,127.0781,51.9,,,,
652,2015-07-13,2016-08-01,청산,,38.0265,127.0781,51.9,,,,
652,1998-05-08,2015-07-13,청산,동두천지역기상서비스센터(98),38.0265,127.0781,51.9,,,,
654,2015-12-04,,자월도,인천기상대(112),37.254,126.3076,10.46,,,,
654,2004-11-10,2015-12-04,자월도,인천기상대(112),37.2546,126.3072,18.81,,,,
654,1999-06-19,2004-11-10,자월도,인천기상대(112),37.250,126.3333,23,,,,
655,2004-11-16,,소청도,백령도기상대(102),37.7602,124.7291,83,,,,
655,2000-01-31,2004-11-16,소청도,백령도기상대(102),37.750,124.7167,83,,,,
655,1999-06-24,2000-01-31,소청도,인천기상대(112),37.750,124.7167,83,,,,
656,2004-11-10,,볼음도,인천기상대(112),37.6709,126.1922,14.75,,,,
656,1999-06-10,2004-11-10,볼음도,인천기상대(112),37.650,126.1833,30,,,,
657,2015-07-13,,대천항,대전지방기상청(133),36.3244,126.5021,31.65,,,,
657,2015-04-07,2015-07-13,대천항,보령지역기상서비스센터(235),36.3245,126.5017,24,,,,
657,2011-01-17,2015-04-07,대천항,보령지역기상서비스센터(235),36.3239,126.5038,42.31,,,,
657,2004-11-18,2011-01-17,보령항,보령지역기상서비스센터(235),36.3167,126.500,25,,,,
657,1999-06-03,2004-11-18,보령항,홍성기상대(서산 129),36.3167,126.500,25,,,,
658,2017-08-25,,만리포,,36.7683,126.1214,69.6,,,,
658,2015-07-13,2017-08-25,만리포,,36.7683,126.1214,69.6,,,,
658,2009-09-16,2015-07-13,만리포,홍성기상대(서산 129),36.7683,126.1214,69.6,,,,
658,2004-11-03,2009-09-15,만리포,홍성기상대(서산 129),36.8333,126.1333,10,,,,
658,1999-06-18,2004-11-03,만리포,홍성기상대(서산 129),36.8333,126.1333,5,,,,
659,2004-11-16,,계룡산,대전지방기상청(133),36.343,127.2057,831.7,,,,
659,1999-06-02,2004-11-16,계룡산,대전지방기상청(133),36.4167,127.250,835,,,,
660,2015-07-13,,면온,강릉(구 105),37.562,128.3776,533.47,,,,
660,2012-09-04,2015-07-13,면온,대관령기상대(100),37.562,128.3776,531.69,,,,
660,2004-11-11,2012-09-03,면온,대관령기상대(100),37.550,128.350,567,,,,
660,1999-06-08,2004-11-11,면온,대관령기상대(100),37.550,128.350,570,,,,
661,2015-12-22,,현내,강릉(구 105),38.5441,128.4027,5,,,,
661,2015-07-13,2015-12-22,현내,강릉(구 105),38.5441,128.4027,5,,,,
661,2010-12-11,2015-07-13,현내,속초기상대(90),38.5441,128.4027,5,,,,
661,2004-11-11,2010-12-11,현내,속초기상대(90),38.5333,128.400,6,,,,
661,1999-06-10,2004-11-11,통일,속초기상대(90),38.5333,128.400,8,,,,
662,2007-10-09,,승봉도,인천기상대(112),37.1707,126.297,13.27,,,7.000,
662,2001-01-05,2007-10-05,부도,인천기상대(112),37.1467,126.350,30,,,,
663,2001-02-21,,목덕도,인천기상대(112),36.9286,125.7869,62.53,,,,
664,2016-11-21,,영흥도,인천기상대(112),37.2247,126.4584,17.72,,,,
664,2007-09-13,2016-11-21,영흥도,인천기상대(112),37.2556,126.484,26,,,,
664,2001-01-05,2007-09-13,영흥도,인천기상대(112),37.2667,126.4667,25,,,,
665,2007-09-11,,무의도,인천기상대(112),37.3904,126.4252,22.85,,,,
665,2001-01-05,2007-09-11,무의도,인천기상대(112),37.3833,126.4167,26,,,,
666,2007-09-04,,안도,,36.9587,126.1683,29.6,,,,
666,2001-02-14,2007-09-04,안도,홍성기상대(서산 129),36.950,126.1667,65,,,,
667,2001-01-05,,옹도,,36.6476,126.0093,58,,,,
669,2015-07-13,,외연도,대전지방기상청(133),36.2292,126.0758,20.89,,,,
669,2007-09-07,2015-07-13,외연도,보령지역기상서비스센터(235),36.2289,126.0817,20.54,,,,
669,2001-02-13,2007-09-07,외연도,홍성기상대(서산 129),36.2167,125.450,4,,,,
670,2006-12-15,,양양,강릉(구 105),38.0872,128.6297,4.31,,,,
671,2015-07-13,,청호,강릉(구 105),38.1909,128.5936,3,,,,
671,2011-06-11,2015-07-13,청호,속초기상대(90),38.1909,128.5936,3,,,,
671,2006-12-15,2011-06-11,청호,속초기상대(90),38.1988,128.5941,7.4,,,,
672,2015-07-13,,상하,전주기상대(146),35.4424,126.4883,10.76,,,,
672,2009-11-19,2015-07-13,상하,고창기상대(172),35.4424,126.4883,10.76,,,,
673,2009-11-05,,진영,부산지방기상청(159),35.2822,128.7175,20.56,,,,
674,2015-07-13,,사북,강릉(구 105),37.2197,128.8214,821,,,,
674,2010-12-05,2015-07-13,사북,영월기상대(121),37.2197,128.8214,821,,,,
675,2011-06-07,,남이섬,춘천기상대(101),37.7898,127.5277,51.51,,,,
676,2017-08-25,,위성센터,청주기상대(131),36.9906,127.4299,161,,,10.000,
676,2016-07-26,2017-08-25,위성센터,청주기상대(131),36.9906,127.4297,161,,,10.000,
680,2016-11-28,,평화,춘천기상대(101),38.2128,127.8447,230.65,,,,
680,2005-11-15,2016-11-28,평화,춘천기상대(101),38.2127,127.8441,224.36,,,,
680,2002-05-24,2005-11-15,평화,춘천기상대(101),38.210,127.8458,233,,,,
681,2015-07-13,,원동,춘천기상대(101),38.2438,127.8117,210.81,,,,
681,2004-07-15,2015-07-13,원동,철원기상대(95),38.2438,127.8117,210.81,,,,
681,2002-06-14,2004-07-15,원동,속초기상대(90),38.2414,127.8139,230,,,,
682,2002-06-14,,임남,춘천기상대(101),38.2806,127.8647,1062,,,,
683,2017-12-16,2018-02-01,오창가곡,청주기상대(131),36.7248,127.4655,66,,,,
683,2017-08-25,2017-12-16,오창가곡,청주기상대(131),36.7248,127.4655,66,,,,
